Order_Date,Product_Category,Product_Price,Order_Quantity,Discount_Applied,Shipping_Method,Payment_Method,User_Age,User_Gender,User_Location,Return_Status,Order_Value
2022-01-14,Clothing,1720.71,2,30.46,Next-Day,Wallet,57,Female,City27,Not Returned,2393.163468
2022-01-03,Toys,744.06,5,29.62,Next-Day,Wallet,55,Female,City5,Returned,2618.34714
2025-03-16,Clothing,983.68,5,47.8,Express,Wallet,37,Female,City11,Not Returned,2567.4048
2024-11-06,Books,1855.65,2,2.9,Express,COD,47,Female,City78,Not Returned,3603.6723
2023-06-07,Home Appliances,1770.97,5,44.42,Express,COD,35,Female,City23,Returned,4921.52563
2024-08-04,Home Appliances,591.59,5,42.65,Express,COD,30,Female,City20,Not Returned,1696.3843250000002
2022-12-02,Clothing,1486.38,1,42.68,Express,COD,55,Female,City46,Returned,851.993016
2023-11-27,Home Appliances,867.83,5,32.64,Standard,Wallet,25,Female,City23,Not Returned,2922.8514400000004
2023-02-11,Books,900.07,2,35.09,Express,Wallet,63,Female,City94,Not Returned,1168.470874
2023-07-18,Clothing,841.45,1,29.24,Next-Day,Credit Card,35,Male,City42,Returned,595.41002
2023-08-06,Toys,878.28,4,4.55,Next-Day,Wallet,45,Female,City31,Not Returned,3353.27304
2025-05-02,Clothing,1175.86,4,0.05,Express,Credit Card,50,Male,City5,Returned,4701.08828
2024-02-06,Clothing,496.15,5,15.37,Standard,COD,32,Female,City71,Returned,2099.458725
2024-04-01,Home Appliances,724.15,4,46.64,Next-Day,COD,28,Female,City83,Not Returned,1545.6257600000001
2022-07-13,Home Appliances,402.42,4,46.79,Next-Day,Credit Card,30,Male,City46,Not Returned,856.5107280000001
2023-12-25,Clothing,1028.52,1,17.98,Standard,Debit Card,61,Male,City78,Not Returned,843.5921040000001
2023-10-26,Books,1007.44,2,22.33,Next-Day,COD,42,Male,City9,Returned,1564.9572960000003
2024-04-11,Clothing,1511.97,3,29.6,Next-Day,Debit Card,61,Female,City66,Not Returned,3193.2806399999995
2024-09-26,Clothing,1407.13,1,26.76,Next-Day,Wallet,27,Male,City50,Not Returned,1030.582012
2024-05-12,Electronics,118.47,3,30.4,Standard,COD,59,Male,City36,Not Returned,247.36535999999995
2022-12-06,Home Appliances,677.02,3,24.19,Next-Day,Credit Card,63,Male,City69,Not Returned,1539.746586
2022-04-30,Toys,489.24,5,34.18,Express,Credit Card,51,Male,City19,Returned,1610.08884
2024-11-11,Clothing,586.27,4,49.48,Express,Credit Card,22,Male,City73,Returned,1184.7344160000002
2023-03-14,Clothing,1450.25,2,19.1,Next-Day,Wallet,48,Female,City93,Not Returned,2346.5045
2024-10-27,Electronics,1817.2,5,27.56,Next-Day,Debit Card,40,Male,City46,Not Returned,6581.898399999999
2024-12-25,Electronics,926.6,1,12.24,Standard,Credit Card,40,Female,City34,Not Returned,813.1841599999999
2022-12-09,Electronics,474.4,4,28.41,Standard,Debit Card,57,Male,City97,Not Returned,1358.49184
2024-10-14,Electronics,591.71,3,47.93,Next-Day,Credit Card,45,Male,City1,Returned,924.3101909999999
2023-10-21,Books,1954.61,2,4.97,Standard,Wallet,29,Male,City63,Not Returned,3714.931766
2024-05-08,Clothing,1986.39,5,49.57,Express,Debit Card,20,Female,City33,Not Returned,5008.682385
2022-06-05,Clothing,1958.01,1,13.84,Standard,Wallet,53,Female,City35,Not Returned,1687.021416
2022-10-25,Electronics,1129.86,5,47.92,Standard,Debit Card,61,Male,City60,Not Returned,2942.155439999999
2024-11-13,Electronics,965.69,3,22.26,Express,Wallet,57,Female,City68,Not Returned,2252.182218
2024-06-04,Clothing,1222.91,4,34.81,Next-Day,Debit Card,55,Male,City89,Not Returned,3188.860116
2023-02-22,Books,558.64,1,24.01,Standard,Debit Card,51,Female,City51,Not Returned,424.510536
2025-02-05,Toys,1315.41,4,16.13,Next-Day,COD,50,Male,City77,Not Returned,4412.937468
2025-02-04,Books,1762.82,3,22.88,Next-Day,Credit Card,18,Male,City77,Not Returned,4078.460352
2025-03-18,Home Appliances,1539.1,4,38.93,Express,Wallet,49,Female,City20,Not Returned,3759.71348
2022-04-16,Toys,1673.32,4,8.59,Standard,Credit Card,59,Female,City69,Not Returned,6118.327248
2022-05-16,Books,228.03,2,40.43,Express,Credit Card,63,Female,City78,Not Returned,271.674942
2022-02-12,Clothing,865.53,3,29.69,Next-Day,Credit Card,21,Female,City13,Returned,1825.6624290000002
2024-04-01,Toys,867.44,3,41.84,Express,Wallet,56,Male,City74,Not Returned,1513.509312
2024-07-08,Electronics,1917.35,4,36.66,Express,Debit Card,56,Male,City67,Returned,4857.79796
2023-11-13,Clothing,823.66,3,21.65,Express,Debit Card,43,Female,City37,Not Returned,1936.01283
2024-03-26,Clothing,637.2,4,5.14,Express,COD,41,Female,City79,Not Returned,2417.7916800000003
2025-08-11,Electronics,614.11,5,0.79,Next-Day,Debit Card,42,Male,City81,Not Returned,3046.292655
2022-12-09,Clothing,627.61,1,46.58,Standard,COD,53,Male,City63,Not Returned,335.269262
2023-09-15,Clothing,1176.05,1,2.52,Standard,Debit Card,51,Female,City45,Returned,1146.41354
2024-12-25,Clothing,1773.1,5,32.55,Express,Wallet,29,Male,City86,Not Returned,5979.779750000001
2024-12-30,Electronics,377.98,3,39.94,Standard,COD,22,Male,City80,Returned,681.0443640000001
2022-02-18,Toys,1191.75,4,22.81,Express,Wallet,65,Female,City22,Not Returned,3679.6473
2024-09-17,Books,1367.73,1,49.26,Standard,Wallet,49,Female,City68,Returned,693.9862020000002
2023-04-07,Electronics,983.36,5,10.14,Standard,Credit Card,60,Male,City69,Not Returned,4418.23648
2022-12-04,Clothing,132.08,5,13.64,Standard,Credit Card,60,Female,City46,Not Returned,570.32144
2022-01-18,Electronics,635.55,3,6.34,Express,Debit Card,48,Female,City41,Not Returned,1785.76839
2024-12-03,Toys,275.08,1,6.97,Express,Debit Card,21,Female,City95,Not Returned,255.906924
2023-09-01,Books,1497.49,4,17.06,Express,Debit Card,37,Male,City14,Not Returned,4968.072824
2023-08-06,Books,945.39,2,48.79,Standard,Credit Card,19,Male,City45,Not Returned,968.268438
2025-08-14,Electronics,494.88,3,49.44,Standard,Wallet,28,Female,City9,Returned,750.633984
2025-05-05,Home Appliances,279.18,2,48.36,Express,COD,30,Female,City93,Not Returned,288.337104
2025-03-21,Clothing,1156.2,1,21.78,Next-Day,COD,41,Male,City12,Not Returned,904.37964
2022-03-25,Electronics,1570.79,5,46.56,Express,COD,26,Male,City25,Not Returned,4197.15088
2025-06-06,Home Appliances,126.54,1,37.63,Next-Day,Credit Card,24,Female,City70,Not Returned,78.92299799999999
2022-06-24,Electronics,1058.27,3,16.36,Standard,Wallet,30,Female,City47,Not Returned,2655.411084
2025-01-23,Toys,1448.92,3,48.41,Standard,Debit Card,39,Female,City77,Returned,2242.493484
